Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2011,Spring,2011-sp,ANTH,240,Biological Anthropology,DIS,0,6,4,2,7,0,0,3,0,0,1,0,0,0,23,"Roseman, Charles C"
2011,Spring,2011-sp,ANTH,249,Evolution and Human Disease,LCD,9,12,8,10,7,2,0,1,1,0,1,0,1,0,52,"Clancy, Kathryn B"
2011,Spring,2011-sp,ANTH,270,Linguistic Anthropology,DIS,1,9,5,3,6,5,0,0,0,0,0,0,0,1,29,"Lo, Adrienne S"
2011,Spring,2011-sp,ANTH,271,Linguistic Anth-ACP,DIS,6,4,6,4,3,3,0,1,2,0,0,0,0,0,29,"Lo, Adrienne S"
2011,Spring,2011-sp,ANTH,277,"Ancient Cities, Sacred Land",LCD,9,9,10,10,9,3,4,1,0,0,1,0,2,0,58,"Zobler, Kari A"
2011,Spring,2011-sp,ANTH,288,American Indians of Illinois,LEC,0,8,2,10,3,0,1,1,4,0,1,1,0,0,31,"Farnell, Brenda M"
2011,Spring,2011-sp,ANTH,363,Anth of Dance/Movement,LCD,1,9,5,4,2,1,1,3,2,0,1,0,0,0,29,"Farnell, Brenda M"
2011,Spring,2011-sp,ANTH,399,Eating America,LCD,1,28,1,2,3,0,0,1,0,0,0,0,0,0,36,"Manalansan, Martin F"
2011,Spring,2011-sp,ANTH,462,Museum Theory and Practice,LCD,2,9,8,2,2,2,1,0,2,0,1,0,0,0,29,"Frankenberg, Susan R"
2011,Spring,2011-sp,ARAB,202,Elementary Standard Arabic II,PKG,2,3,5,0,9,0,0,2,0,0,1,0,0,0,22,"El-Aasar, Mohamed A"
2011,Spring,2011-sp,ARCH,199,Undergraduate Open Seminar,CNF,21,20,3,0,4,0,0,0,0,0,0,0,0,0,48,"Mink, Barry L"
2011,Spring,2011-sp,ARCH,199,Undergraduate Open Seminar,CNF,42,10,4,0,1,0,0,2,0,0,0,0,2,0,61,"Mink, Barry L"
2011,Spring,2011-sp,ARCH,199,Undergraduate Open Seminar,CNF,2,10,21,13,2,0,0,0,0,0,0,0,0,0,48,"Lapunzina, Alejandro"
2011,Spring,2011-sp,ARCH,210,Intro to the Hist of Arch,LEC,0,29,21,9,26,7,3,12,2,2,1,0,2,2,114,"Minor, Heather H"
2011,Spring,2011-sp,ARCH,233,Construction of Buildings II,LEC,4,49,36,16,12,2,2,1,2,0,0,0,3,1,127,"Podalak, Craig A"
2011,Spring,2011-sp,ARCH,272,Strategies of Arch Design,LAB,0,8,10,16,15,4,2,2,2,0,1,0,0,0,60,"Hamlin, Lawrence J"
2011,Spring,2011-sp,ARCH,272,Strategies of Arch Design,LAB,0,4,12,16,11,3,4,0,0,0,1,0,1,1,52,"Warren, Allison M"
2011,Spring,2011-sp,ARCH,341,Environment Tech HVAC,LEC,0,4,7,15,19,9,5,6,2,1,0,0,0,0,68,"Strand, Richard K"
2011,Spring,2011-sp,ARCH,342,Environment Tech Ltg & Acoust,LEC,1,5,10,15,19,7,5,4,2,0,0,0,0,0,68,"Boubekri, Mohamed"
2011,Spring,2011-sp,ARCH,352,Mech of Mat & Design Appl,LEC,13,15,16,10,14,10,8,3,0,1,1,1,0,0,92,"Uihlein, Marci S"
2011,Spring,2011-sp,ARCH,352,Mech of Mat & Design Appl,LEC,2,5,10,9,10,4,5,3,0,0,0,0,0,0,48,"Kansler, Jeffrey C"
